15/03/2013 17:35:44 (Std) 	---- CEGUI Imageset name: OgreTrayImages
15/03/2013 17:35:44 (Std) 	---- Source texture file: OgreTrayImages.png in resource group: (Default)
15/03/2013 17:35:44 (Std) 	Started creation of Font from XML specification:
15/03/2013 17:35:44 (Std) 	---- CEGUI font name: DejaVuSans-10
15/03/2013 17:35:44 (Std) 	----       Font type: FreeType
15/03/2013 17:35:44 (Std) 	----     Source file: DejaVuSans.ttf in resource group: (Default)
15/03/2013 17:35:44 (Std) 	---- Real point size: 10
15/03/2013 17:35:44 (Std) 	===== Falagard 'root' element: look and feel parsing begins =====
15/03/2013 17:35:44 (Std) 	===== Look and feel parsing completed =====
15/03/2013 17:35:44 (Std) 	No window renderer factories specified for module 'CEGUIFalagardWRBase' - adding all available factories...
15/03/2013 17:35:44 (Std) 	Creating falagard mapping for type 'OgreTray/Button' using base type 'CEGUI/PushButton', window renderer 'Falagard/Button' Look'N'Feel 'OgreTray/PushButton' and RenderEffect ''. (0034CF88)
15/03/2013 17:35:44 (Std) 	Creating falagard mapping for type 'OgreTray/Titlebar' using base type 'CEGUI/Titlebar', window renderer 'Falagard/Titlebar' Look'N'Feel 'OgreTray/Titlebar' and RenderEffect ''. (0034CF88)
15/03/2013 17:35:44 (Std) 	Creating falagard mapping for type 'OgreTray/FrameWindow' using base type 'CEGUI/FrameWindow', window renderer 'Falagard/FrameWindow' Look'N'Feel 'OgreTray/FrameWindow' and RenderEffect ''. (0034CF88)
15/03/2013 17:35:44 (Std) 	Creating falagard mapping for type 'OgreTray/Thumb' using base type 'CEGUI/Thumb', window renderer 'Falagard/Button' Look'N'Feel 'OgreTray/Thumb' and RenderEffect ''. (0034CF88)
